tipo,x,y
simuladas,32,3.5
simuladas,48,4.814285714285714
simuladas,190,12.571428571428571
simuladas,125,7.185714285714286
simuladas,120,8.3
simuladas,88,8.8
simuladas,101,8.214285714285714
simuladas,62,10.285714285714286
simuladas,168,11.428571428571429
simuladas,113,22.2
simuladas,115,10.957142857142857
simuladas,4,2.057142857142857
simuladas,247,16.685714285714287
simuladas,144,8.17142857142857
simuladas,214,25.4
simuladas,25,3.4714285714285715
simuladas,32,4.114285714285714
simuladas,235,25.1
simuladas,48,3.914285714285714
simuladas,124,22.4
simuladas,12,2.8142857142857145
simuladas,126,21.585714285714285
simuladas,143,10.885714285714286
simuladas,103,8.4
simuladas,3,2.0
simuladas,6,2.3
simuladas,98,14.1
simuladas,67,5.571428571428571
simuladas,190,12.514285714285714
simuladas,203,44.457142857142856
simuladas,141,21.5
simuladas,119,15.82857142857143
simuladas,157,13.242857142857142
simuladas,63,11.528571428571428
simuladas,26,3.8714285714285714
simuladas,141,29.071428571428573
simuladas,38,5.457142857142857
simuladas,156,10.528571428571428
simuladas,207,38.885714285714286
simuladas,93,12.971428571428572
simuladas,22,7.885714285714286
simuladas,1,1.3571428571428572
simuladas,220,11.585714285714285
simuladas,217,12.557142857142857
simuladas,147,8.342857142857143
simuladas,145,9.242857142857142
simuladas,3,2.2
simuladas,2,1.7
simuladas,129,18.228571428571428
simuladas,126,10.385714285714286
simuladas,112,8.442857142857143
simuladas,2,1.5
simuladas,36,7.385714285714286
simuladas,239,23.271428571428572
simuladas,116,6.8428571428571425
simuladas,165,12.142857142857142
simuladas,51,7.785714285714286
simuladas,231,14.014285714285714
simuladas,60,14.857142857142858
simuladas,87,11.82857142857143
simuladas,188,43.98571428571429
simuladas,61,12.028571428571428
simuladas,122,16.357142857142858
simuladas,38,5.914285714285715
simuladas,71,12.4
simuladas,132,17.414285714285715
simuladas,175,48.07142857142857
simuladas,104,8.071428571428571
simuladas,174,12.128571428571428
simuladas,143,12.014285714285714
simuladas,223,15.8
