metrica,tipo_operacion,variacion_medida
348,AND,1.0
274,AND,1.0
348,OR,30.085714285714285
274,OR,30.085714285714285
326,AND,1.0
33,AND,1.0
326,OR,33.08571428571429
33,OR,33.08571428571429
352,AND,22.685714285714287
199,AND,22.685714285714287
352,OR,36.285714285714285
199,OR,36.285714285714285
110,AND,6.785714285714286
181,AND,6.785714285714286
110,OR,40.385714285714286
181,OR,40.385714285714286
289,AND,11.32857142857143
91,AND,11.32857142857143
289,OR,32.642857142857146
91,OR,32.642857142857146
319,AND,25.571428571428573
87,AND,25.571428571428573
319,OR,18.614285714285714
87,OR,18.614285714285714
365,AND,3.1714285714285713
133,AND,3.1714285714285713
365,OR,25.271428571428572
133,OR,25.271428571428572
118,AND,6.185714285714286
69,AND,6.185714285714286
118,OR,16.65714285714286
69,OR,16.65714285714286
43,AND,10.371428571428572
141,AND,10.371428571428572
43,OR,12.728571428571428
141,OR,12.728571428571428
112,AND,4.457142857142857
285,AND,4.457142857142857
112,OR,33.17142857142857
285,OR,33.17142857142857
117,AND,9.128571428571428
115,AND,9.128571428571428
117,OR,11.128571428571428
115,OR,11.128571428571428
225,AND,1.0
143,AND,1.0
225,OR,21.428571428571427
143,OR,21.428571428571427
93,AND,1.0
232,AND,1.0
93,OR,19.642857142857142
232,OR,19.642857142857142
251,AND,3.7285714285714286
238,AND,3.7285714285714286
251,OR,24.414285714285715
238,OR,24.414285714285715
268,AND,7.542857142857143
357,AND,7.542857142857143
268,OR,33.74285714285714
357,OR,33.74285714285714
218,AND,1.0
220,AND,1.0
218,OR,22.885714285714286
220,OR,22.885714285714286
161,AND,15.342857142857143
176,AND,15.342857142857143
161,OR,30.84285714285714
176,OR,30.84285714285714
123,AND,19.085714285714285
357,AND,19.085714285714285
123,OR,19.9
357,OR,19.9
260,AND,12.028571428571428
172,AND,12.028571428571428
260,OR,15.4
172,OR,15.4
40,AND,12.7
88,AND,12.7
40,OR,16.542857142857144
88,OR,16.542857142857144
144,AND,1.0
44,AND,1.0
144,OR,14.714285714285714
44,OR,14.714285714285714
26,AND,11.657142857142857
321,AND,11.657142857142857
26,OR,26.057142857142857
321,OR,26.057142857142857
110,AND,7.771428571428571
135,AND,7.771428571428571
110,OR,27.185714285714287
135,OR,27.185714285714287
370,AND,3.3
36,AND,3.3
370,OR,21.685714285714287
36,OR,21.685714285714287
36,AND,4.785714285714286
57,AND,4.785714285714286
36,OR,8.571428571428571
57,OR,8.571428571428571
353,AND,1.0
111,AND,1.0
353,OR,28.014285714285716
111,OR,28.014285714285716
46,AND,1.0
314,AND,1.0
46,OR,32.47142857142857
314,OR,32.47142857142857
41,AND,2.942857142857143
159,AND,2.942857142857143
41,OR,13.128571428571428
159,OR,13.128571428571428
56,AND,3.4571428571428573
241,AND,3.4571428571428573
56,OR,11.042857142857143
241,OR,11.042857142857143
29,AND,16.757142857142856
100,AND,16.757142857142856
29,OR,8.214285714285714
100,OR,8.214285714285714
249,AND,6.0285714285714285
333,AND,6.0285714285714285
249,OR,32.785714285714285
333,OR,32.785714285714285
352,AND,11.785714285714286
164,AND,11.785714285714286
352,OR,24.17142857142857
164,OR,24.17142857142857
166,AND,7.357142857142857
359,AND,7.357142857142857
166,OR,27.1
359,OR,27.1
192,AND,2.0
312,AND,2.0
192,OR,35.52857142857143
312,OR,35.52857142857143
148,AND,12.7
357,AND,12.7
148,OR,25.814285714285713
357,OR,25.814285714285713
163,AND,14.442857142857143
41,AND,14.442857142857143
163,OR,16.114285714285714
41,OR,16.114285714285714
212,AND,11.642857142857142
109,AND,11.642857142857142
212,OR,36.15714285714286
109,OR,36.15714285714286
159,AND,1.0
173,AND,1.0
159,OR,20.17142857142857
173,OR,20.17142857142857
239,AND,29.057142857142857
283,AND,29.057142857142857
239,OR,55.614285714285714
283,OR,55.614285714285714
57,AND,1.0
65,AND,1.0
57,OR,23.042857142857144
65,OR,23.042857142857144
344,AND,13.7
259,AND,13.7
344,OR,21.32857142857143
259,OR,21.32857142857143
365,AND,19.87142857142857
342,AND,19.87142857142857
365,OR,22.428571428571427
342,OR,22.428571428571427
286,AND,9.071428571428571
247,AND,9.071428571428571
286,OR,22.514285714285716
247,OR,22.514285714285716
165,AND,10.3
181,AND,10.3
165,OR,40.385714285714286
181,OR,40.385714285714286
367,AND,17.642857142857142
337,AND,17.642857142857142
367,OR,21.2
337,OR,21.2
99,AND,18.12857142857143
360,AND,18.12857142857143
99,OR,23.642857142857142
360,OR,23.642857142857142
242,AND,12.185714285714285
260,AND,12.185714285714285
242,OR,19.4
260,OR,19.4
