metrica,tipo_operacion,variacion_medida
100,AND,139.52423469387756
148,AND,139.52423469387756
100,OR,260.015306122449
148,OR,260.015306122449
140,AND,251.4234693877551
171,AND,251.4234693877551
140,OR,354.2385204081633
171,OR,354.2385204081633
164,AND,470.9630102040816
60,AND,470.9630102040816
164,OR,104.96301020408164
60,OR,104.96301020408164
300,AND,1152.3520408163265
173,AND,1152.3520408163265
300,OR,150.17729591836738
173,OR,150.17729591836738
87,AND,105.25892857142857
213,AND,105.25892857142857
87,OR,185.3112244897959
213,OR,185.3112244897959
335,AND,342.66709183673476
158,AND,342.66709183673476
335,OR,159.69387755102042
158,OR,159.69387755102042
103,AND,1010.3609693877552
368,AND,1010.3609693877552
103,OR,52.27551020408163
368,OR,52.27551020408163
296,AND,47.16836734693877
182,AND,47.16836734693877
296,OR,568.2487244897959
182,OR,568.2487244897959
109,AND,36.76530612244898
359,AND,36.76530612244898
109,OR,1001.0956632653061
359,OR,1001.0956632653061
141,AND,624.5969387755102
302,AND,624.5969387755102
141,OR,223.10586734693877
302,OR,223.10586734693877
192,AND,25.309948979591837
119,AND,25.309948979591837
192,OR,189.96428571428572
119,OR,189.96428571428572
25,AND,463.28061224489795
109,AND,463.28061224489795
25,OR,164.90816326530611
109,OR,164.90816326530611
247,AND,47.28954081632653
254,AND,47.28954081632653
247,OR,1446.6160714285713
254,OR,1446.6160714285713
119,AND,73.91836734693878
204,AND,73.91836734693878
119,OR,540.7487244897959
204,OR,540.7487244897959
164,AND,136.4234693877551
192,AND,136.4234693877551
164,OR,273.9438775510204
192,OR,273.9438775510204
365,AND,132.23979591836735
224,AND,132.23979591836735
365,OR,1478.704081632653
224,OR,1478.704081632653
134,AND,11.83673469387755
32,AND,11.83673469387755
134,OR,124.28061224489797
32,OR,124.28061224489797
252,AND,165.26530612244898
242,AND,165.26530612244898
252,OR,664.6326530612245
242,OR,664.6326530612245
79,AND,91.31122448979592
355,AND,91.31122448979592
79,OR,1314.5956632653063
355,OR,1314.5956632653063
149,AND,736.0038265306122
254,AND,736.0038265306122
149,OR,654.3010204081633
254,OR,654.3010204081633
179,AND,1100.248724489796
