puerta,medida_antes,medida_despues
AND,0.16847484276729516,0.5968681582008086
AND,0.5968681582008011,0.5968681582008086
OR,0.5968681582008011,0.16847484276729496
OR,0.5968681582008011,0.16847484276729496
AND,0.7485596736291553,0.7710650281906309
AND,0.6889426193875332,0.7710650281906309
OR,0.6889426193875332,0.7031386174450225
OR,0.6889426193875332,0.7031386174450225
AND,0.7009973085335898,0.7717872937339341
AND,0.3135732317604077,0.7717872937339341
OR,0.3135732317604077,0.28665447859089044
OR,0.3135732317604077,0.28665447859089044
AND,0.6642623028690128,0.7765407196636875
AND,0.7765407196636872,0.7765407196636875
OR,0.7765407196636872,0.6642623028690149
OR,0.7765407196636872,0.6642623028690149
AND,0.1928944730813311,0.6769539582529445
AND,0.6769539582529432,0.6769539582529445
OR,0.6769539582529432,0.19289447308133
OR,0.6769539582529432,0.19289447308133
AND,0.48510902999169,0.640203497875122
AND,0.6383811524716728,0.640203497875122
OR,0.6383811524716728,0.375893068760249
OR,0.6383811524716728,0.375893068760249
AND,0.6301979170512203,0.6519459151694573
AND,0.29584534763106296,0.6519459151694573
OR,0.29584534763106296,0.30221467328015733
OR,0.29584534763106296,0.30221467328015733
AND,0.5274522938779248,0.9444444444444445
AND,0.7097034832483246,0.9444444444444445
OR,0.7097034832483246,0.42467909269260634
OR,0.7097034832483246,0.42467909269260634
AND,0.5493639006749602,0.5493639006749629
AND,0.24615593036645625,0.5493639006749629
OR,0.24615593036645625,0.2461559303664565
OR,0.24615593036645625,0.2461559303664565
AND,0.686304857134533,0.8016443744649926
AND,0.7943532474736961,0.8016443744649926
OR,0.7943532474736961,0.6831614159238458
OR,0.7943532474736961,0.6831614159238458
AND,0.7511771504467409,0.7467605560742807
AND,0.18266108966109143,0.7467605560742807
OR,0.18266108966109143,0.18142878028404458
OR,0.18266108966109143,0.18142878028404458
AND,0.6823197421701683,0.6936591558966697
AND,0.6854183943591631,0.6936591558966697
OR,0.6854183943591631,0.6733345922616774
OR,0.6854183943591631,0.6733345922616774
AND,0.7149527463469202,0.9565217391304348
AND,0.28865641380183893,0.9565217391304348
OR,0.28865641380183893,0.28836845617704
OR,0.28865641380183893,0.28836845617704
AND,0.29584534763106296,0.7571341391420999
AND,0.7204759537706664,0.7571341391420999
OR,0.7204759537706664,0.28370051825984927
OR,0.7204759537706664,0.28370051825984927
AND,0.692798303839818,0.749395802206832
AND,0.624478672411571,0.749395802206832
OR,0.624478672411571,0.60321645790243
OR,0.624478672411571,0.60321645790243
AND,0.5426991125621264,0.9094202898550724
AND,0.735608901023599,0.9094202898550724
OR,0.735608901023599,0.3827201382910183
OR,0.735608901023599,0.3827201382910183
AND,0.7014988564845317,0.7826713633677717
AND,0.7586267382071783,0.7826713633677717
OR,0.7586267382071783,0.6704288655400316
OR,0.7586267382071783,0.6704288655400316
AND,0.6021816141661349,0.7242780916509722
AND,0.7236999147485075,0.7242780916509722
OR,0.7236999147485075,0.4932803265750345
OR,0.7236999147485075,0.4932803265750345
AND,0.5688346624885092,0.5688346624885054
AND,0.18175021655105536,0.5688346624885054
OR,0.18175021655105536,0.1817502165510555
OR,0.18175021655105536,0.1817502165510555
AND,0.27075952603263503,0.7592917564054643
AND,0.7592917564054654,0.7592917564054643
OR,0.7592917564054654,0.27075952603263703
OR,0.7592917564054654,0.27075952603263703
AND,0.8031754578261507,0.8031754578261507
AND,0.20602856599534422,0.8031754578261507
OR,0.20602856599534422,0.20602856599534436
OR,0.20602856599534422,0.20602856599534436
AND,0.7204787283754993,0.7204787283754986
AND,0.17554338808694178,0.7204787283754986
OR,0.17554338808694178,0.17554338808694173
OR,0.17554338808694178,0.17554338808694173
AND,0.6668976576259319,0.7632351688923609
AND,0.723692176448985,0.7632351688923609
OR,0.723692176448985,0.6128956233370388
OR,0.723692176448985,0.6128956233370388
AND,0.7296907442102807,0.7242982027386657
AND,0.3356157277725906,0.7242982027386657
OR,0.3356157277725906,0.457649041483314
OR,0.3356157277725906,0.457649041483314
AND,0.5753895900967487,0.7395914459350988
AND,0.7395914459350991,0.7395914459350988
OR,0.7395914459350991,0.5753895900967507
OR,0.7395914459350991,0.5753895900967507
AND,0.22400489517854008,0.7237876557096306
AND,0.7237876557096301,0.7237876557096306
OR,0.7237876557096301,0.2240048951785407
OR,0.7237876557096301,0.2240048951785407
AND,0.6707278129845846,0.670727812984586
AND,0.23380287444924253,0.670727812984586
OR,0.23380287444924253,0.23380287444924286
OR,0.23380287444924253,0.23380287444924286
AND,0.37395865314748244,0.593006183167083
AND,0.5779892771370041,0.593006183167083
OR,0.5779892771370041,0.3689701288080913
OR,0.5779892771370041,0.3689701288080913
AND,0.7127697284066231,0.7272949620382524
AND,0.6647620530914925,0.7272949620382524
OR,0.6647620530914925,0.6625684888919487
OR,0.6647620530914925,0.6625684888919487
AND,0.73771400118654,0.9615384615384616
AND,0.7229109485650685,0.9615384615384616
OR,0.7229109485650685,0.5420439770438441
OR,0.7229109485650685,0.5420439770438441
AND,0.331433503602695,0.6975975813499865
AND,0.6968867665300981,0.6975975813499865
OR,0.6968867665300981,0.32984582968044734
OR,0.6968867665300981,0.32984582968044734
AND,0.1871677685158569,0.7006697361805738
AND,0.7006697361805744,0.7006697361805738
OR,0.7006697361805744,0.18716776851585734
OR,0.7006697361805744,0.18716776851585734
AND,0.5664924793386189,0.5712337288376468
AND,0.5777668688669677,0.5712337288376468
OR,0.5777668688669677,0.5455915153047759
OR,0.5777668688669677,0.5455915153047759
AND,0.6260163699157872,0.8162172747887028
AND,0.8162172747887032,0.8162172747887028
OR,0.8162172747887032,0.6260163699157855
OR,0.8162172747887032,0.6260163699157855
AND,0.3980422071596823,0.7066061931245179
AND,0.7140330172639262,0.7066061931245179
OR,0.7140330172639262,0.41442671709975487
OR,0.7140330172639262,0.41442671709975487
AND,0.3867906832192574,0.8368541998186269
AND,0.730034059507743,0.8368541998186269
OR,0.730034059507743,0.31477070013573594
OR,0.730034059507743,0.31477070013573594
AND,0.6594675745758194,0.7369512564024655
AND,0.6816466001726574,0.7369512564024655
OR,0.6816466001726574,0.658693732288229
OR,0.6816466001726574,0.658693732288229
AND,0.6774751670513475,0.7122820512820512
AND,0.5874879315956661,0.7122820512820512
OR,0.5874879315956661,0.43571159407007115
OR,0.5874879315956661,0.43571159407007115
AND,0.29060549203661373,0.8005101405997296
AND,0.8005101405997292,0.8005101405997296
OR,0.8005101405997292,0.290605492036616
OR,0.8005101405997292,0.290605492036616
AND,0.6495840798621907,0.6495840798621907
AND,0.19973133697923529,0.6495840798621907
OR,0.19973133697923529,0.19973133697923587
OR,0.19973133697923529,0.19973133697923587
AND,0.6901021471628216,0.7530736942544466
AND,0.7474889176659668,0.7530736942544466
OR,0.7474889176659668,0.684907947249501
OR,0.7474889176659668,0.684907947249501
AND,0.5942862355796172,0.6753612948003018
AND,0.6630154531800726,0.6753612948003018
OR,0.6630154531800726,0.5925817654227596
OR,0.6630154531800726,0.5925817654227596
AND,0.7060769294077948,0.8084071681049736
